ACCESS,ACR,AGEP,BATH,BDSP,BLD,COW,ELEP,FESRP,FKITP,FPARC,FSCHP,FTAXP,GASP,HHL,HHT,HINCP,LANX,MAR,MV,NRC,R18,R65,RAC1P,RMSP,RWAT,SCH,SCHL,SEX,VALP,VALP_B1
2.0,1.0,68,1.0,3.0,2.0,1,210.0,0,0.0,4,0,0.0,50.0,1.0,1.0,55100.0,2,1,7.0,0.0,0.0,2.0,1,7.0,1.0,1,19,2,275000.0,1.0
1.0,3.0,32,1.0,4.0,2.0,1,340.0,0,0.0,3,0,0.0,3.0,1.0,1.0,203000.0,2,1,3.0,2.0,1.0,0.0,1,9.0,1.0,1,21,2,350000.0,1.0
1.0,3.0,35,1.0,4.0,2.0,1,340.0,0,0.0,3,0,0.0,3.0,1.0,1.0,203000.0,2,1,3.0,2.0,1.0,0.0,1,9.0,1.0,1,21,1,350000.0,1.0
1.0,3.0,5,1.0,4.0,2.0,0,340.0,0,0.0,3,0,0.0,3.0,1.0,1.0,203000.0,2,5,3.0,2.0,1.0,0.0,1,9.0,1.0,3,2,2,350000.0,1.0
1.0,3.0,3,1.0,4.0,2.0,0,340.0,0,0.0,3,0,0.0,3.0,1.0,1.0,203000.0,0,5,3.0,2.0,1.0,0.0,1,9.0,1.0,3,1,2,350000.0,1.0
2.0,1.0,56,1.0,3.0,2.0,1,70.0,0,0.0,4,0,0.0,70.0,1.0,1.0,82300.0,2,1,6.0,0.0,0.0,0.0,1,8.0,1.0,1,19,1,138000.0,1.0
2.0,1.0,59,1.0,3.0,2.0,0,70.0,0,0.0,4,0,0.0,70.0,1.0,1.0,82300.0,2,1,6.0,0.0,0.0,0.0,3,8.0,1.0,1,20,2,138000.0,1.0
2.0,1.0,59,1.0,3.0,2.0,1,70.0,0,0.0,4,0,0.0,70.0,1.0,1.0,82300.0,2,3,6.0,0.0,0.0,0.0,1,8.0,1.0,1,16,1,138000.0,1.0
3.0,1.0,80,1.0,2.0,2.0,0,100.0,0,0.0,0,0,1.0,20.0,1.0,4.0,16000.0,2,5,5.0,0.0,0.0,1.0,1,5.0,1.0,1,1,1,150000.0,1.0
1.0,1.0,26,1.0,3.0,2.0,1,80.0,0,0.0,4,0,0.0,2.0,1.0,1.0,70000.0,2,1,2.0,0.0,0.0,0.0,1,7.0,1.0,1,21,1,125000.0,0.0
1.0,1.0,22,1.0,3.0,2.0,1,80.0,0,0.0,4,0,0.0,2.0,1.0,1.0,70000.0,2,1,2.0,0.0,0.0,0.0,3,7.0,1.0,1,19,2,125000.0,0.0
3.0,1.0,58,1.0,3.0,2.0,0,80.0,0,0.0,0,0,1.0,60.0,1.0,6.0,9100.0,2,2,7.0,0.0,0.0,0.0,1,5.0,1.0,1,14,2,350000.0,1.0
1.0,2.0,47,1.0,4.0,2.0,3,250.0,0,0.0,2,0,1.0,3.0,3.0,1.0,100700.0,2,1,5.0,1.0,1.0,0.0,1,7.0,1.0,1,22,2,180000.0,1.0
1.0,2.0,50,1.0,4.0,2.0,4,250.0,0,0.0,2,0,1.0,3.0,3.0,1.0,100700.0,2,1,5.0,1.0,1.0,0.0,1,7.0,1.0,1,22,1,180000.0,1.0
1.0,2.0,17,1.0,4.0,2.0,3,250.0,0,0.0,2,0,1.0,3.0,3.0,1.0,100700.0,1,5,5.0,1.0,1.0,0.0,1,7.0,1.0,2,18,2,180000.0,1.0
1.0,2.0,32,1.0,4.0,2.0,7,230.0,0,0.0,3,0,0.0,120.0,1.0,1.0,60000.0,2,1,2.0,3.0,1.0,0.0,1,7.0,1.0,1,22,1,348000.0,1.0
1.0,2.0,30,1.0,4.0,2.0,1,230.0,0,0.0,3,0,0.0,120.0,1.0,1.0,60000.0,2,1,2.0,3.0,1.0,0.0,1,7.0,1.0,1,21,2,348000.0,1.0
1.0,2.0,5,1.0,4.0,2.0,0,230.0,0,0.0,3,0,0.0,120.0,1.0,1.0,60000.0,2,5,2.0,3.0,1.0,0.0,1,7.0,1.0,2,2,1,348000.0,1.0
1.0,2.0,2,1.0,4.0,2.0,0,230.0,0,0.0,3,0,0.0,120.0,1.0,1.0,60000.0,0,5,2.0,3.0,1.0,0.0,1,7.0,1.0,0,0,1,348000.0,1.0
1.0,2.0,0,1.0,4.0,2.0,0,230.0,0,0.0,3,0,0.0,120.0,1.0,1.0,60000.0,0,5,2.0,3.0,1.0,0.0,1,7.0,1.0,0,0,1,348000.0,1.0
1.0,2.0,39,1.0,4.0,2.0,1,150.0,0,0.0,2,0,0.0,80.0,1.0,1.0,76200.0,2,1,4.0,3.0,1.0,0.0,3,8.0,1.0,1,19,1,100000.0,0.0
1.0,2.0,41,1.0,4.0,2.0,6,150.0,0,0.0,2,0,0.0,80.0,1.0,1.0,76200.0,2,1,4.0,3.0,1.0,0.0,3,8.0,1.0,1,16,2,100000.0,0.0
1.0,2.0,14,1.0,4.0,2.0,0,150.0,0,0.0,2,0,0.0,80.0,1.0,1.0,76200.0,2,5,4.0,3.0,1.0,0.0,3,8.0,1.0,2,11,1,100000.0,0.0
1.0,2.0,10,1.0,4.0,2.0,0,150.0,0,0.0,2,0,0.0,80.0,1.0,1.0,76200.0,2,5,4.0,3.0,1.0,0.0,3,8.0,1.0,2,6,1,100000.0,0.0
1.0,2.0,16,1.0,4.0,2.0,0,150.0,0,0.0,2,0,0.0,80.0,1.0,1.0,76200.0,2,5,4.0,3.0,1.0,0.0,1,8.0,1.0,2,13,2,100000.0,0.0
1.0,1.0,66,1.0,2.0,2.0,0,130.0,1,1.0,4,0,1.0,100.0,1.0,1.0,31660.0,2,1,5.0,0.0,0.0,1.0,5,4.0,1.0,1,16,1,80000.0,0.0
1.0,1.0,63,1.0,2.0,2.0,0,130.0,0,1.0,4,0,1.0,100.0,1.0,1.0,31660.0,2,1,5.0,0.0,0.0,1.0,5,4.0,1.0,1,16,2,80000.0,0.0
1.0,1.0,74,1.0,2.0,2.0,0,200.0,0,0.0,4,0,1.0,60.0,1.0,1.0,44700.0,2,1,7.0,0.0,0.0,2.0,1,6.0,1.0,1,16,1,60000.0,0.0
1.0,1.0,88,1.0,2.0,2.0,0,200.0,0,0.0,4,0,1.0,60.0,1.0,1.0,44700.0,2,1,7.0,0.0,0.0,2.0,1,6.0,1.0,1,12,2,60000.0,0.0
1.0,2.0,54,1.0,3.0,2.0,0,100.0,0,0.0,4,0,0.0,60.0,1.0,1.0,65000.0,2,1,5.0,0.0,0.0,0.0,1,7.0,1.0,1,18,2,800000.0,1.0
1.0,2.0,55,1.0,3.0,2.0,3,100.0,0,0.0,4,0,0.0,60.0,1.0,1.0,65000.0,2,1,5.0,0.0,0.0,0.0,1,7.0,1.0,1,19,1,800000.0,1.0
1.0,1.0,47,1.0,3.0,2.0,4,200.0,0,0.0,4,0,0.0,3.0,1.0,1.0,74600.0,2,1,5.0,0.0,0.0,0.0,1,5.0,1.0,1,24,1,118000.0,0.0
1.0,1.0,43,1.0,3.0,2.0,0,200.0,0,0.0,4,0,0.0,3.0,1.0,1.0,74600.0,2,1,5.0,0.0,0.0,0.0,1,5.0,1.0,1,21,2,118000.0,0.0
3.0,1.0,83,1.0,1.0,2.0,0,40.0,0,0.0,0,0,0.0,40.0,1.0,4.0,24300.0,2,2,5.0,0.0,0.0,1.0,1,4.0,1.0,1,16,1,25000.0,0.0
1.0,2.0,33,1.0,3.0,2.0,5,200.0,0,0.0,4,0,1.0,3.0,1.0,1.0,114000.0,2,1,3.0,0.0,0.0,0.0,1,7.0,1.0,1,21,1,200000.0,1.0
1.0,2.0,35,1.0,3.0,2.0,4,200.0,0,0.0,4,0,1.0,3.0,1.0,1.0,114000.0,2,1,3.0,0.0,0.0,0.0,1,7.0,1.0,1,22,2,200000.0,1.0
1.0,2.0,36,1.0,3.0,2.0,2,180.0,0,0.0,2,0,0.0,3.0,1.0,1.0,72000.0,2,1,5.0,2.0,1.0,0.0,1,6.0,1.0,1,17,2,125000.0,0.0
1.0,2.0,38,1.0,3.0,2.0,1,180.0,0,0.0,2,0,0.0,3.0,1.0,1.0,72000.0,2,1,5.0,2.0,1.0,0.0,1,6.0,1.0,1,15,1,125000.0,0.0
1.0,2.0,15,1.0,3.0,2.0,0,180.0,0,0.0,2,0,0.0,3.0,1.0,1.0,72000.0,2,5,5.0,2.0,1.0,0.0,1,6.0,1.0,2,12,2,125000.0,0.0
1.0,2.0,6,1.0,3.0,2.0,0,180.0,0,0.0,2,0,0.0,3.0,1.0,1.0,72000.0,2,5,5.0,2.0,1.0,0.0,1,6.0,1.0,2,3,2,125000.0,0.0
1.0,1.0,63,1.0,2.0,2.0,6,140.0,0,0.0,0,0,0.0,40.0,1.0,4.0,35000.0,2,5,5.0,0.0,0.0,0.0,1,4.0,1.0,1,23,1,170000.0,1.0
1.0,2.0,17,1.0,4.0,2.0,1,290.0,0,0.0,1,0,1.0,200.0,5.0,2.0,3400.0,1,5,4.0,1.0,1.0,0.0,3,8.0,1.0,1,12,1,75000.0,0.0
1.0,2.0,23,1.0,4.0,2.0,1,290.0,0,0.0,1,0,1.0,200.0,5.0,2.0,3400.0,1,5,4.0,1.0,1.0,0.0,3,8.0,1.0,1,13,2,75000.0,0.0
1.0,2.0,2,1.0,4.0,2.0,0,290.0,0,0.0,1,0,1.0,200.0,5.0,2.0,3400.0,0,5,4.0,1.0,1.0,0.0,3,8.0,1.0,0,0,1,75000.0,0.0
1.0,2.0,18,1.0,4.0,2.0,1,290.0,0,0.0,1,0,1.0,200.0,5.0,2.0,3400.0,1,5,4.0,1.0,1.0,0.0,3,8.0,1.0,2,14,2,75000.0,0.0
1.0,1.0,43,1.0,4.0,2.0,1,300.0,0,0.0,2,0,1.0,100.0,3.0,1.0,112400.0,2,1,5.0,1.0,1.0,0.0,1,10.0,1.0,1,19,2,158000.0,1.0
1.0,1.0,48,1.0,4.0,2.0,1,300.0,0,0.0,2,0,1.0,100.0,3.0,1.0,112400.0,1,1,5.0,1.0,1.0,0.0,6,10.0,1.0,1,19,1,158000.0,1.0
1.0,1.0,23,1.0,4.0,2.0,1,300.0,0,0.0,2,0,1.0,100.0,3.0,1.0,112400.0,2,5,5.0,1.0,1.0,0.0,1,10.0,1.0,1,16,2,158000.0,1.0
1.0,1.0,15,1.0,4.0,2.0,0,300.0,0,0.0,2,0,1.0,100.0,3.0,1.0,112400.0,2,5,5.0,1.0,1.0,0.0,9,10.0,1.0,2,12,1,158000.0,1.0
3.0,1.0,62,1.0,2.0,2.0,0,130.0,1,0.0,4,0,0.0,130.0,1.0,3.0,19900.0,2,2,6.0,0.0,0.0,1.0,1,5.0,1.0,1,16,2,60000.0,0.0
3.0,1.0,81,1.0,2.0,2.0,1,130.0,1,0.0,4,0,0.0,130.0,1.0,3.0,19900.0,2,2,6.0,0.0,0.0,1.0,1,5.0,1.0,1,13,2,60000.0,0.0
3.0,1.0,73,1.0,2.0,2.0,0,100.0,0,0.0,0,0,0.0,60.0,1.0,4.0,13800.0,2,3,6.0,0.0,0.0,1.0,1,5.0,1.0,1,16,1,56000.0,0.0
1.0,1.0,70,1.0,4.0,2.0,0,180.0,0,0.0,4,0,0.0,190.0,1.0,1.0,109630.0,2,1,7.0,0.0,0.0,2.0,9,6.0,1.0,1,20,2,10000.0,0.0
1.0,1.0,70,1.0,4.0,2.0,0,180.0,0,0.0,4,0,0.0,190.0,1.0,1.0,109630.0,2,1,7.0,0.0,0.0,2.0,9,6.0,1.0,1,18,1,10000.0,0.0
1.0,1.0,46,1.0,4.0,2.0,4,180.0,0,0.0,4,0,0.0,190.0,1.0,1.0,109630.0,2,5,7.0,0.0,0.0,2.0,9,6.0,1.0,1,21,1,10000.0,0.0
1.0,3.0,62,1.0,3.0,2.0,2,2.0,0,0.0,0,0,0.0,20.0,1.0,4.0,80000.0,2,1,1.0,0.0,0.0,0.0,1,5.0,1.0,1,22,1,180000.0,1.0
3.0,1.0,45,1.0,3.0,2.0,4,150.0,1,0.0,2,1,1.0,30.0,1.0,1.0,105000.0,2,1,5.0,1.0,1.0,0.0,1,6.0,1.0,1,17,2,210000.0,1.0
3.0,1.0,56,1.0,3.0,2.0,1,150.0,1,0.0,2,1,1.0,30.0,1.0,1.0,105000.0,2,1,5.0,1.0,1.0,0.0,1,6.0,1.0,1,21,1,210000.0,1.0
3.0,1.0,17,1.0,3.0,2.0,0,150.0,1,0.0,2,1,1.0,30.0,1.0,1.0,105000.0,2,5,5.0,1.0,1.0,0.0,1,6.0,1.0,2,12,1,210000.0,1.0
1.0,1.0,66,1.0,3.0,2.0,0,150.0,0,0.0,0,0,0.0,20.0,1.0,6.0,27000.0,2,3,4.0,0.0,0.0,1.0,2,5.0,1.0,1,19,2,67000.0,0.0
1.0,1.0,40,1.0,5.0,2.0,1,210.0,0,0.0,3,0,0.0,100.0,1.0,1.0,156000.0,2,1,3.0,2.0,1.0,1.0,1,10.0,1.0,1,21,2,410000.0,1.0
1.0,1.0,36,1.0,5.0,2.0,3,210.0,0,0.0,3,0,0.0,100.0,1.0,1.0,156000.0,2,1,3.0,2.0,1.0,1.0,1,10.0,1.0,1,21,1,410000.0,1.0
1.0,1.0,5,1.0,5.0,2.0,0,210.0,0,0.0,3,0,0.0,100.0,1.0,1.0,156000.0,2,5,3.0,2.0,1.0,1.0,1,10.0,1.0,3,2,2,410000.0,1.0
1.0,1.0,2,1.0,5.0,2.0,0,210.0,0,0.0,3,0,0.0,100.0,1.0,1.0,156000.0,0,5,3.0,2.0,1.0,1.0,1,10.0,1.0,0,0,1,410000.0,1.0
1.0,1.0,42,1.0,5.0,2.0,1,210.0,0,0.0,3,0,0.0,100.0,1.0,1.0,156000.0,2,5,3.0,2.0,1.0,1.0,1,10.0,1.0,2,18,1,410000.0,1.0
1.0,1.0,66,1.0,5.0,2.0,1,210.0,0,0.0,3,0,0.0,100.0,1.0,1.0,156000.0,2,2,3.0,2.0,1.0,1.0,1,10.0,1.0,1,21,2,410000.0,1.0
1.0,1.0,79,1.0,3.0,2.0,6,100.0,0,0.0,4,0,0.0,140.0,1.0,1.0,182600.0,2,1,7.0,0.0,0.0,2.0,1,8.0,1.0,1,23,1,175000.0,1.0
1.0,1.0,75,1.0,3.0,2.0,0,100.0,0,0.0,4,0,0.0,140.0,1.0,1.0,182600.0,2,1,7.0,0.0,0.0,2.0,1,8.0,1.0,1,16,2,175000.0,1.0
3.0,3.0,62,1.0,2.0,2.0,0,150.0,0,0.0,0,0,0.0,3.0,1.0,6.0,12000.0,2,2,7.0,0.0,0.0,0.0,1,5.0,1.0,1,16,2,200000.0,1.0
1.0,1.0,62,1.0,2.0,2.0,1,150.0,0,0.0,4,0,1.0,3.0,1.0,1.0,40000.0,2,1,5.0,0.0,0.0,0.0,1,4.0,1.0,1,24,2,140000.0,1.0
1.0,1.0,62,1.0,2.0,2.0,7,150.0,0,0.0,4,0,1.0,3.0,1.0,1.0,40000.0,2,1,5.0,0.0,0.0,0.0,1,4.0,1.0,1,24,2,140000.0,1.0
3.0,1.0,84,1.0,3.0,2.0,0,140.0,0,0.0,4,0,0.0,3.0,1.0,3.0,46600.0,2,2,1.0,0.0,0.0,1.0,1,7.0,1.0,1,13,2,65000.0,0.0
3.0,1.0,57,1.0,3.0,2.0,1,140.0,1,0.0,4,0,0.0,3.0,1.0,3.0,46600.0,2,3,1.0,0.0,0.0,1.0,9,7.0,1.0,1,16,1,65000.0,0.0
1.0,1.0,65,1.0,3.0,2.0,1,150.0,0,0.0,4,0,0.0,90.0,1.0,1.0,157000.0,2,1,5.0,0.0,0.0,1.0,1,7.0,1.0,1,21,2,220000.0,1.0
1.0,1.0,60,1.0,3.0,2.0,1,150.0,0,0.0,4,0,0.0,90.0,1.0,1.0,157000.0,2,1,5.0,0.0,0.0,1.0,1,7.0,1.0,1,20,1,220000.0,1.0
1.0,1.0,67,1.0,4.0,2.0,4,100.0,0,0.0,4,0,0.0,80.0,1.0,3.0,114100.0,2,3,5.0,0.0,0.0,2.0,1,9.0,1.0,1,21,2,230000.0,1.0
1.0,1.0,93,1.0,4.0,2.0,1,100.0,1,0.0,4,0,0.0,80.0,1.0,3.0,114100.0,2,3,5.0,0.0,0.0,2.0,1,9.0,1.0,1,21,2,230000.0,1.0
1.0,1.0,40,1.0,4.0,2.0,1,200.0,1,0.0,3,1,1.0,2.0,1.0,1.0,204000.0,2,1,3.0,3.0,1.0,0.0,1,6.0,1.0,1,21,1,195000.0,1.0
1.0,1.0,40,1.0,4.0,2.0,1,200.0,1,0.0,3,1,1.0,2.0,1.0,1.0,204000.0,2,1,3.0,3.0,1.0,0.0,1,6.0,1.0,1,21,2,195000.0,1.0
1.0,1.0,5,1.0,4.0,2.0,0,200.0,0,0.0,3,1,1.0,2.0,1.0,1.0,204000.0,2,5,3.0,3.0,1.0,0.0,1,6.0,1.0,2,2,1,195000.0,1.0
1.0,1.0,4,1.0,4.0,2.0,0,200.0,0,0.0,3,1,1.0,2.0,1.0,1.0,204000.0,0,5,3.0,3.0,1.0,0.0,1,6.0,1.0,2,1,1,195000.0,1.0
1.0,1.0,3,1.0,4.0,2.0,0,200.0,0,0.0,3,1,1.0,2.0,1.0,1.0,204000.0,0,5,3.0,3.0,1.0,0.0,1,6.0,1.0,1,1,2,195000.0,1.0
1.0,1.0,54,1.0,3.0,2.0,0,90.0,1,0.0,4,1,0.0,50.0,1.0,1.0,64090.0,2,1,3.0,0.0,0.0,0.0,1,5.0,1.0,1,16,2,135000.0,1.0
1.0,1.0,61,1.0,3.0,2.0,1,90.0,1,0.0,4,1,0.0,50.0,1.0,1.0,64090.0,2,1,3.0,0.0,0.0,0.0,1,5.0,1.0,1,16,1,135000.0,1.0
1.0,1.0,38,1.0,4.0,2.0,1,180.0,0,0.0,2,0,0.0,30.0,1.0,1.0,67000.0,2,1,5.0,1.0,1.0,0.0,1,7.0,1.0,1,21,2,130000.0,0.0
1.0,1.0,42,1.0,4.0,2.0,3,180.0,0,0.0,2,0,0.0,30.0,1.0,1.0,67000.0,2,1,5.0,1.0,1.0,0.0,1,7.0,1.0,1,16,1,130000.0,0.0
1.0,1.0,9,1.0,4.0,2.0,0,180.0,0,0.0,2,0,0.0,30.0,1.0,1.0,67000.0,2,5,5.0,1.0,1.0,0.0,1,7.0,1.0,2,6,1,130000.0,0.0
1.0,1.0,46,1.0,3.0,2.0,5,110.0,0,0.0,2,0,0.0,60.0,1.0,1.0,137000.0,2,1,5.0,1.0,1.0,0.0,1,5.0,1.0,1,21,1,130000.0,0.0
1.0,1.0,46,1.0,3.0,2.0,5,110.0,0,0.0,2,0,0.0,60.0,1.0,1.0,137000.0,2,1,5.0,1.0,1.0,0.0,1,5.0,1.0,1,21,2,130000.0,0.0
1.0,1.0,12,1.0,3.0,2.0,0,110.0,0,0.0,2,0,0.0,60.0,1.0,1.0,137000.0,2,5,5.0,1.0,1.0,0.0,1,5.0,1.0,2,8,2,130000.0,0.0
1.0,1.0,20,1.0,3.0,2.0,1,110.0,0,0.0,2,0,0.0,60.0,1.0,1.0,137000.0,2,5,5.0,1.0,1.0,0.0,9,5.0,1.0,2,19,1,130000.0,0.0
1.0,1.0,70,1.0,3.0,2.0,1,40.0,0,0.0,4,0,0.0,50.0,1.0,1.0,53800.0,2,1,5.0,0.0,0.0,1.0,1,6.0,1.0,1,19,1,120000.0,0.0
1.0,1.0,53,1.0,3.0,2.0,3,40.0,0,0.0,4,0,0.0,50.0,1.0,1.0,53800.0,2,1,5.0,0.0,0.0,1.0,1,6.0,1.0,1,19,2,120000.0,0.0
3.0,3.0,67,1.0,3.0,2.0,1,120.0,0,0.0,4,0,0.0,3.0,1.0,1.0,68000.0,2,1,7.0,0.0,0.0,2.0,1,6.0,1.0,1,16,2,200000.0,1.0
3.0,3.0,68,1.0,3.0,2.0,0,120.0,0,0.0,4,0,0.0,3.0,1.0,1.0,68000.0,2,1,7.0,0.0,0.0,2.0,1,6.0,1.0,1,16,1,200000.0,1.0
1.0,1.0,28,1.0,3.0,2.0,2,120.0,0,0.0,0,0,0.0,50.0,1.0,6.0,63000.0,2,5,3.0,0.0,0.0,0.0,9,5.0,1.0,1,20,2,145000.0,1.0
1.0,2.0,67,1.0,4.0,2.0,0,250.0,0,0.0,4,0,0.0,40.0,1.0,1.0,111800.0,2,1,5.0,0.0,0.0,1.0,1,10.0,1.0,1,21,1,375000.0,1.0
1.0,2.0,55,1.0,4.0,2.0,0,250.0,0,0.0,4,0,0.0,40.0,1.0,1.0,111800.0,2,1,5.0,0.0,0.0,1.0,3,10.0,1.0,1,21,2,375000.0,1.0
1.0,3.0,56,1.0,2.0,2.0,1,120.0,0,0.0,0,0,0.0,100.0,1.0,4.0,135000.0,2,3,5.0,0.0,0.0,0.0,1,6.0,1.0,1,22,1,65000.0,0.0
1.0,3.0,41,1.0,4.0,2.0,0,120.0,0,0.0,4,0,0.0,130.0,1.0,1.0,159000.0,2,1,2.0,0.0,0.0,0.0,1,8.0,1.0,1,19,2,242000.0,1.0
1.0,3.0,41,1.0,4.0,2.0,1,120.0,0,0.0,4,0,0.0,130.0,1.0,1.0,159000.0,2,1,2.0,0.0,0.0,0.0,1,8.0,1.0,3,19,1,242000.0,1.0
1.0,3.0,23,1.0,4.0,2.0,1,120.0,0,0.0,4,0,0.0,130.0,1.0,1.0,159000.0,2,5,2.0,0.0,0.0,0.0,1,8.0,1.0,1,19,1,242000.0,1.0
1.0,3.0,20,1.0,4.0,2.0,1,120.0,0,0.0,4,0,0.0,130.0,1.0,1.0,159000.0,2,5,2.0,0.0,0.0,0.0,9,8.0,1.0,3,18,2,242000.0,1.0
1.0,1.0,25,1.0,3.0,2.0,1,60.0,0,0.0,4,0,0.0,110.0,2.0,1.0,34200.0,1,1,1.0,0.0,0.0,0.0,1,6.0,1.0,2,20,2,165000.0,1.0
1.0,1.0,26,1.0,3.0,2.0,1,60.0,0,0.0,4,0,0.0,110.0,2.0,1.0,34200.0,1,1,1.0,0.0,0.0,0.0,1,6.0,1.0,1,15,1,165000.0,1.0
1.0,3.0,32,1.0,4.0,2.0,1,250.0,0,0.0,1,0,0.0,20.0,1.0,1.0,165000.0,2,1,3.0,1.0,1.0,0.0,1,9.0,1.0,1,21,2,700000.0,1.0
1.0,3.0,33,1.0,4.0,2.0,1,250.0,0,0.0,1,0,0.0,20.0,1.0,1.0,165000.0,2,1,3.0,1.0,1.0,0.0,1,9.0,1.0,1,21,1,700000.0,1.0
1.0,3.0,3,1.0,4.0,2.0,0,250.0,0,0.0,1,0,0.0,20.0,1.0,1.0,165000.0,0,5,3.0,1.0,1.0,0.0,1,9.0,1.0,1,2,2,700000.0,1.0
1.0,1.0,69,1.0,3.0,2.0,1,60.0,0,0.0,0,0,0.0,40.0,1.0,6.0,113000.0,2,3,7.0,0.0,0.0,1.0,1,6.0,1.0,1,23,2,110000.0,0.0
3.0,1.0,78,1.0,3.0,2.0,0,140.0,0,0.0,4,0,1.0,2.0,1.0,1.0,26100.0,2,1,7.0,0.0,0.0,2.0,1,5.0,1.0,1,16,1,80000.0,0.0
3.0,1.0,77,1.0,3.0,2.0,0,140.0,0,0.0,4,0,1.0,2.0,1.0,1.0,26100.0,2,1,7.0,0.0,0.0,2.0,1,5.0,1.0,1,16,2,80000.0,0.0
3.0,1.0,83,1.0,3.0,2.0,0,270.0,1,0.0,0,0,0.0,3.0,1.0,6.0,9000.0,2,2,7.0,0.0,0.0,1.0,1,5.0,1.0,1,1,2,15000.0,0.0
1.0,1.0,49,1.0,2.0,2.0,1,60.0,0,0.0,3,0,0.0,30.0,2.0,1.0,26750.0,1,1,5.0,2.0,1.0,0.0,1,7.0,1.0,1,21,1,80000.0,0.0
1.0,1.0,43,1.0,2.0,2.0,0,60.0,0,0.0,3,0,0.0,30.0,2.0,1.0,26750.0,1,1,5.0,2.0,1.0,0.0,1,7.0,1.0,1,21,2,80000.0,0.0
1.0,1.0,6,1.0,2.0,2.0,0,60.0,0,0.0,3,0,0.0,30.0,2.0,1.0,26750.0,2,5,5.0,2.0,1.0,0.0,1,7.0,1.0,3,3,2,80000.0,0.0
1.0,1.0,2,1.0,2.0,2.0,0,60.0,0,0.0,3,0,0.0,30.0,2.0,1.0,26750.0,0,5,5.0,2.0,1.0,0.0,1,7.0,1.0,0,0,2,80000.0,0.0
1.0,2.0,58,1.0,3.0,2.0,0,100.0,0,0.0,4,0,0.0,3.0,1.0,1.0,48000.0,2,1,3.0,0.0,0.0,0.0,1,8.0,1.0,1,16,2,150000.0,1.0
1.0,2.0,61,1.0,3.0,2.0,1,100.0,0,0.0,4,0,0.0,3.0,1.0,1.0,48000.0,2,1,3.0,0.0,0.0,0.0,1,8.0,1.0,1,20,1,150000.0,1.0
1.0,1.0,27,1.0,3.0,2.0,1,110.0,0,0.0,4,0,0.0,50.0,1.0,1.0,75000.0,2,1,2.0,0.0,0.0,0.0,1,5.0,1.0,1,19,1,155000.0,1.0
1.0,1.0,25,1.0,3.0,2.0,2,110.0,0,0.0,4,0,0.0,50.0,1.0,1.0,75000.0,2,1,2.0,0.0,0.0,0.0,1,5.0,1.0,1,22,2,155000.0,1.0
